technique_id,name,tactic
T1598.003,Spearphishing Link,reconnaissance
T1021.004,SSH,lateral-movement
T1098.003,Additional Cloud Roles,"persistence, privilege-escalation"
T1547.012,Print Processors,"persistence, privilege-escalation"
T1566.001,Spearphishing Attachment,initial-access
T1027.008,Stripped Payloads,stealth
T1559.001,Component Object Model,execution
T1574.001,DLL,"stealth, execution"
T1119,Automated Collection,collection
T1689,Downgrade Attack,defense-impairment
T1115,Clipboard Data,collection
T1003.007,Proc Filesystem,credential-access
T1583.005,Botnet,resource-development
T1555.005,Password Managers,credential-access
T1553.001,Gatekeeper Bypass,defense-impairment
T1675,ESXi Administration Command,execution
T1608.004,Drive-by Target,resource-development
T1007,System Service Discovery,discovery
T1040,Network Sniffing,"credential-access, discovery"
T1553.002,Code Signing,defense-impairment
T1530,Data from Cloud Storage,collection
T1565.003,Runtime Data Manipulation,impact
T1552.002,Credentials in Registry,credential-access
T1135,Network Share Discovery,discovery
T1120,Peripheral Device Discovery,discovery
T1036.009,Break Process Trees,stealth
T1590.004,Network Topology,reconnaissance
T1587.002,Code Signing Certificates,resource-development
T1222.001,Windows Permissions,defense-impairment
T1137.006,Add-ins,persistence
T1685.002,Disable or Modify Cloud Log,defense-impairment
T1505.002,Transport Agent,persistence
T1082,System Information Discovery,discovery
T1071,Application Layer Protocol,command-and-control
T1574.014,AppDomainManager,"stealth, execution"
T1074.002,Remote Data Staging,collection
T1098.006,Additional Container Cluster Roles,"persistence, privilege-escalation"
T1053,Scheduled Task/Job,"execution, persistence, privilege-escalation"
T1218.007,Msiexec,stealth
T1590.003,Network Trust Dependencies,reconnaissance
T1498.002,Reflection Amplification,impact
T1556.002,Password Filter DLL,"defense-impairment, persistence, credential-access"
T1505.005,Terminal Services DLL,persistence
T1059.002,AppleScript,execution
T1176,Software Extensions,persistence
T1499.002,Service Exhaustion Flood,impact
T1195.003,Compromise Hardware Supply Chain,initial-access
T1106,Native API,execution
T1558.005,Ccache Files,credential-access
T1070.007,Clear Network Connection History and Configurations,stealth
T1558.004,AS-REP Roasting,credential-access
T1584.003,Virtual Private Server,resource-development
T1059.010,AutoHotKey & AutoIT,execution
T1600.001,Reduce Key Space,defense-impairment
T1070.003,Clear Command History,stealth
T1202,Indirect Command Execution,stealth
T1091,Replication Through Removable Media,"lateral-movement, initial-access"
T1005,Data from Local System,collection
T1140,Deobfuscate/Decode Files or Information,stealth
T1137.005,Outlook Rules,persistence
T1586.003,Cloud Accounts,resource-development
T1586.002,Email Accounts,resource-development
T1098.007,Additional Local or Domain Groups,"persistence, privilege-escalation"
T1608.001,Upload Malware,resource-development
T1195,Supply Chain Compromise,initial-access
T1190,Exploit Public-Facing Application,initial-access
T1558,Steal or Forge Kerberos Tickets,credential-access
T1555,Credentials from Password Stores,credential-access
T1567,Exfiltration Over Web Service,exfiltration
T1219,Remote Access Tools,command-and-control
T1583.001,Domains,resource-development
T1560.002,Archive via Library,collection
T1055.003,Thread Execution Hijacking,"stealth, privilege-escalation"
T1684,Social Engineering,stealth
T1036,Masquerading,stealth
T1546.011,Application Shimming,"privilege-escalation, persistence"
T1552,Unsecured Credentials,credential-access
T1547.010,Port Monitors,"persistence, privilege-escalation"
T1070.008,Clear Mailbox Data,stealth
T1037.002,Login Hook,"persistence, privilege-escalation"
T1659,Content Injection,"initial-access, command-and-control"
T1055,Process Injection,"stealth, privilege-escalation"
T1567.004,Exfiltration Over Webhook,exfiltration
T1205,Traffic Signaling,"stealth, persistence, command-and-control"
T1021.008,Direct Cloud VM Connections,lateral-movement
T1218,System Binary Proxy Execution,stealth
T1070.006,Timestomp,stealth
T1557.004,Evil Twin,"credential-access, collection"
T1620,Reflective Code Loading,stealth
T1016.002,Wi-Fi Discovery,discovery
T1480.002,Mutual Exclusion,stealth
T1564.011,Ignore Process Interrupts,stealth
T1611,Escape to Host,privilege-escalation
T1518.002,Backup Software Discovery,discovery
T1547.009,Shortcut Modification,"persistence, privilege-escalation"
T1010,Application Window Discovery,discovery
T1569.003,Systemctl,execution
T1087.003,Email Account,discovery
T1497.003,Time Based Checks,"stealth, discovery"
T1218.003,CMSTP,stealth
T1563.001,SSH Hijacking,lateral-movement
T1029,Scheduled Transfer,exfiltration
T1021.002,SMB/Windows Admin Shares,lateral-movement
T1525,Implant Internal Image,persistence
T1572,Protocol Tunneling,command-and-control
T1218.002,Control Panel,stealth
T1599.001,Network Address Translation Traversal,defense-impairment
T1608.002,Upload Tool,resource-development
T1547.005,Security Support Provider,"persistence, privilege-escalation"
T1036.011,Overwrite Process Arguments,stealth
T1550,Use Alternate Authentication Material,lateral-movement
T1597.001,Threat Intel Vendors,reconnaissance
T1011,Exfiltration Over Other Network Medium,exfiltration
T1602.002,Network Device Configuration Dump,collection
T1589,Gather Victim Identity Information,reconnaissance
T1560,Archive Collected Data,collection
T1553.003,SIP and Trust Provider Hijacking,defense-impairment
T1185,Browser Session Hijacking,collection
T1021,Remote Services,lateral-movement
T1071.003,Mail Protocols,command-and-control
T1556.007,Hybrid Identity,"defense-impairment, persistence, credential-access"
T1595.002,Vulnerability Scanning,reconnaissance
T1059.009,Cloud API,execution
T1596,Search Open Technical Databases,reconnaissance
T1218.015,Electron Applications,stealth
T1207,Rogue Domain Controller,defense-impairment
T1553.006,Code Signing Policy Modification,defense-impairment
T1610,Deploy Container,execution
T1112,Modify Registry,"defense-impairment, persistence"
T1543.004,Launch Daemon,"persistence, privilege-escalation"
T1580,Cloud Infrastructure Discovery,discovery
T1555.003,Credentials from Web Browsers,credential-access
T1574.008,Path Interception by Search Order Hijacking,"stealth, execution"
T1491,Defacement,impact
T1535,Unused/Unsupported Cloud Regions,stealth
T1557.003,DHCP Spoofing,"credential-access, collection"
T1563,Remote Service Session Hijacking,lateral-movement
T1564.013,Bind Mounts,stealth
T1027.001,Binary Padding,stealth
T1505.003,Web Shell,persistence
T1484.001,Group Policy Modification,"defense-impairment, privilege-escalation"
T1685.006,Clear Linux or Mac System Logs,defense-impairment
T1217,Browser Information Discovery,discovery
T1552.004,Private Keys,credential-access
T1583.004,Server,resource-development
T1021.006,Windows Remote Management,lateral-movement
T1011.001,Exfiltration Over Bluetooth,exfiltration
T1078.001,Default Accounts,"stealth, persistence, privilege-escalation, initial-access"
T1547.003,Time Providers,"persistence, privilege-escalation"
T1546.005,Trap,"privilege-escalation, persistence"
T1574.006,Dynamic Linker Hijacking,"stealth, execution"
T1136.001,Local Account,persistence
T1681,Search Threat Vendor Data,reconnaissance
T1674,Input Injection,execution
T1092,Communication Through Removable Media,command-and-control
T1585.002,Email Accounts,resource-development
T1557.001,Name Resolution Poisoning and SMB Relay,"credential-access, collection"
T1222,File and Directory Permissions Modification,defense-impairment
T1003.001,LSASS Memory,credential-access
T1176.002,IDE Extensions,persistence
T1595,Active Scanning,reconnaissance
T1027.016,Junk Code Insertion,stealth
T1548,Abuse Elevation Control Mechanism,privilege-escalation
T1134.002,Create Process with Token,"stealth, privilege-escalation"
T1548.001,Setuid and Setgid,privilege-escalation
T1547.004,Winlogon Helper DLL,"persistence, privilege-escalation"
T1021.003,Distributed Component Object Model,lateral-movement
T1110.003,Password Spraying,credential-access
T1090.002,External Proxy,command-and-control
T1056.003,Web Portal Capture,"collection, credential-access"
T1589.002,Email Addresses,reconnaissance
T1598.004,Spearphishing Voice,reconnaissance
T1683.001,Written Content,resource-development
T1003.005,Cached Domain Credentials,credential-access
T1098.004,SSH Authorized Keys,"persistence, privilege-escalation"
T1673,Virtual Machine Discovery,discovery
T1590.006,Network Security Appliances,reconnaissance
T1546.012,Image File Execution Options Injection,"privilege-escalation, persistence"
T1218.008,Odbcconf,stealth
T1593.002,Search Engines,reconnaissance
T1591.002,Business Relationships,reconnaissance
T1548.005,Temporary Elevated Cloud Access,privilege-escalation
T1125,Video Capture,collection
T1055.013,Process Doppelgänging,"stealth, privilege-escalation"
T1016,System Network Configuration Discovery,discovery
T1578.003,Delete Cloud Instance,defense-impairment
T1593.003,Code Repositories,reconnaissance
T1574.005,Executable Installer File Permissions Weakness,"stealth, execution"
T1546.008,Accessibility Features,"privilege-escalation, persistence"
T1496.002,Bandwidth Hijacking,impact
T1087,Account Discovery,discovery
T1090,Proxy,command-and-control
T1059,Command and Scripting Interpreter,execution
T1204.005,Malicious Library,execution
T1685.005,Clear Windows Event Logs,defense-impairment
T1136.002,Domain Account,persistence
T1564.014,Extended Attributes,stealth
T1589.003,Employee Names,reconnaissance
T1677,Poisoned Pipeline Execution,execution
T1482,Domain Trust Discovery,discovery
T1558.001,Golden Ticket,credential-access
T1020,Automated Exfiltration,exfiltration
T1592.004,Client Configurations,reconnaissance
T1219.001,IDE Tunneling,command-and-control
T1036.002,Right-to-Left Override,stealth
T1588.001,Malware,resource-development
T1027.017,SVG Smuggling,stealth
T1542.002,Component Firmware,"stealth, persistence"
T1070,Indicator Removal,stealth
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration
T1137.001,Office Template Macros,persistence
T1583.003,Virtual Private Server,resource-development
T1213.001,Confluence,collection
T1550.003,Pass the Ticket,lateral-movement
T1609,Container Administration Command,execution
T1083,File and Directory Discovery,discovery
T1568,Dynamic Resolution,command-and-control
T1036.004,Masquerade Task or Service,stealth
T1055.004,Asynchronous Procedure Call,"stealth, privilege-escalation"
T1020.001,Traffic Duplication,exfiltration
T1647,Plist File Modification,defense-impairment
T1127.003,JamPlus,"stealth, execution"
T1546.009,AppCert DLLs,"privilege-escalation, persistence"
T1114.003,Email Forwarding Rule,collection
T1074,Data Staged,collection
T1649,Steal or Forge Authentication Certificates,credential-access
T1098.005,Device Registration,"persistence, privilege-escalation"
T1049,System Network Connections Discovery,discovery
T1584,Compromise Infrastructure,resource-development
T1553.005,Mark-of-the-Web Bypass,defense-impairment
T1600.002,Disable Crypto Hardware,defense-impairment
T1542,Pre-OS Boot,"stealth, persistence"
T1612,Build Image on Host,stealth
T1055.002,Portable Executable Injection,"stealth, privilege-escalation"
T1218.012,Verclsid,stealth
T1586,Compromise Accounts,resource-development
T1569.001,Launchctl,execution
T1584.005,Botnet,resource-development
T1059.008,Network Device CLI,execution
T1552.003,Shell History,credential-access
T1559.003,XPC Services,execution
T1497,Virtualization/Sandbox Evasion,"stealth, discovery"
T1102,Web Service,command-and-control
T1552.001,Credentials In Files,credential-access
T1568.003,DNS Calculation,command-and-control
T1218.005,Mshta,stealth
T1547.015,Login Items,"persistence, privilege-escalation"
T1608,Stage Capabilities,resource-development
T1608.005,Link Target,resource-development
T1104,Multi-Stage Channels,command-and-control
T1657,Financial Theft,impact
T1480,Execution Guardrails,stealth
T1619,Cloud Storage Object Discovery,discovery
T1606.001,Web Cookies,credential-access
T1654,Log Enumeration,discovery
T1134.001,Token Impersonation/Theft,"stealth, privilege-escalation"
T1567.001,Exfiltration to Code Repository,exfiltration
T1021.007,Cloud Services,lateral-movement
T1205.001,Port Knocking,"stealth, persistence, command-and-control"
T1027.012,LNK Icon Smuggling,stealth
T1583.006,Web Services,resource-development
T1528,Steal Application Access Token,credential-access
T1598.002,Spearphishing Attachment,reconnaissance
T1098.001,Additional Cloud Credentials,"persistence, privilege-escalation"
T1204,User Execution,execution
T1491.001,Internal Defacement,impact
T1564.002,Hidden Users,stealth
T1134.003,Make and Impersonate Token,"stealth, privilege-escalation"
T1552.006,Group Policy Preferences,credential-access
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration
T1087.004,Cloud Account,discovery
T1683.002,Audio-Visual Content,resource-development
T1057,Process Discovery,discovery
T1556.008,Network Provider DLL,"defense-impairment, persistence, credential-access"
T1546.003,Windows Management Instrumentation Event Subscription,"privilege-escalation, persistence"
T1596.004,CDNs,reconnaissance
T1497.002,User Activity Based Checks,"stealth, discovery"
T1496.004,Cloud Service Hijacking,impact
T1585.003,Cloud Accounts,resource-development
T1072,Software Deployment Tools,"execution, lateral-movement"
T1041,Exfiltration Over C2 Channel,exfiltration
T1134.004,Parent PID Spoofing,"stealth, privilege-escalation"
T1591,Gather Victim Org Information,reconnaissance
T1606,Forge Web Credentials,credential-access
T1621,Multi-Factor Authentication Request Generation,credential-access
T1554,Compromise Host Software Binary,persistence
T1552.008,Chat Messages,credential-access
T1059.001,PowerShell,execution
T1546.001,Change Default File Association,"privilege-escalation, persistence"
T1055.014,VDSO Hijacking,"stealth, privilege-escalation"
T1071.002,File Transfer Protocols,command-and-control
T1679,Selective Exclusion,stealth
T1212,Exploitation for Credential Access,credential-access
T1546.014,Emond,"privilege-escalation, persistence"
T1102.003,One-Way Communication,command-and-control
T1590,Gather Victim Network Information,reconnaissance
T1210,Exploitation of Remote Services,lateral-movement
T1534,Internal Spearphishing,lateral-movement
T1574.010,Services File Permissions Weakness,"stealth, execution"
T1547.001,Registry Run Keys / Startup Folder,"persistence, privilege-escalation"
T1199,Trusted Relationship,initial-access
T1136.003,Cloud Account,persistence
T1069.001,Local Groups,discovery
T1593,Search Open Websites/Domains,reconnaissance
T1098,Account Manipulation,"persistence, privilege-escalation"
T1048,Exfiltration Over Alternative Protocol,exfiltration
T1547.006,Kernel Modules and Extensions,"persistence, privilege-escalation"
T1678,Delay Execution,stealth
T1056.002,GUI Input Capture,"collection, credential-access"
T1686.002,Network Device Firewall,defense-impairment
T1588.002,Tool,resource-development
T1052.001,Exfiltration over USB,exfiltration
T1574.013,KernelCallbackTable,"stealth, execution"
T1597,Search Closed Sources,reconnaissance
T1053.006,Systemd Timers,"execution, persistence, privilege-escalation"
T1566,Phishing,initial-access
T1542.004,ROMMONkit,"stealth, persistence"
T1218.001,Compiled HTML File,stealth
T1496.001,Compute Hijacking,impact
T1070.005,Network Share Connection Removal,stealth
T1090.003,Multi-hop Proxy,command-and-control
T1110,Brute Force,credential-access
T1059.004,Unix Shell,execution
T1137.003,Outlook Forms,persistence
T1219.003,Remote Access Hardware,command-and-control
T1565,Data Manipulation,impact
T1559,Inter-Process Communication,execution
T1001,Data Obfuscation,command-and-control
T1039,Data from Network Shared Drive,collection
T1584.006,Web Services,resource-development
T1601,Modify System Image,defense-impairment
T1574,Hijack Execution Flow,"stealth, execution"
T1036.012,Browser Fingerprint,stealth
T1059.011,Lua,execution
T1027.005,Indicator Removal from Tools,stealth
T1204.003,Malicious Image,execution
T1543.005,Container Service,"persistence, privilege-escalation"
T1078,Valid Accounts,"stealth, persistence, privilege-escalation, initial-access"
T1571,Non-Standard Port,command-and-control
T1585.001,Social Media Accounts,resource-development
T1055.012,Process Hollowing,"stealth, privilege-escalation"
T1068,Exploitation for Privilege Escalation,privilege-escalation
T1564.009,Resource Forking,stealth
T1531,Account Access Removal,impact
T1110.004,Credential Stuffing,credential-access
T1027,Obfuscated Files or Information,stealth
T1556.006,Multi-Factor Authentication,"defense-impairment, persistence, credential-access"
T1114.002,Remote Email Collection,collection
T1505.004,IIS Components,persistence
T1036.001,Invalid Code Signature,stealth
T1683,Generate Content,resource-development
T1564.006,Run Virtual Instance,stealth
T1027.014,Polymorphic Code,stealth
T1201,Password Policy Discovery,discovery
T1546,Event Triggered Execution,"privilege-escalation, persistence"
T1546.004,Unix Shell Configuration Modification,"privilege-escalation, persistence"
T1187,Forced Authentication,credential-access
T1134.005,SID-History Injection,"stealth, privilege-escalation"
T1599,Network Boundary Bridging,defense-impairment
T1486,Data Encrypted for Impact,impact
T1690,Prevent Command History Logging,defense-impairment
T1553,Subvert Trust Controls,defense-impairment
T1548.004,Elevated Execution with Prompt,privilege-escalation
T1592.003,Firmware,reconnaissance
T1573,Encrypted Channel,command-and-control
T1547.002,Authentication Package,"persistence, privilege-escalation"
T1218.010,Regsvr32,stealth
T1567.003,Exfiltration to Text Storage Sites,exfiltration
T1592.002,Software,reconnaissance
T1056,Input Capture,"collection, credential-access"
T1566.004,Spearphishing Voice,initial-access
T1587.004,Exploits,resource-development
T1685,Disable or Modify Tools,defense-impairment
T1593.001,Social Media,reconnaissance
T1213.004,Customer Relationship Management Software,collection
T1546.015,Component Object Model Hijacking,"privilege-escalation, persistence"
T1589.001,Credentials,reconnaissance
T1195.002,Compromise Software Supply Chain,initial-access
T1036.003,Rename Legitimate Utilities,stealth
T1102.002,Bidirectional Communication,command-and-control
T1203,Exploitation for Client Execution,execution
T1595.003,Wordlist Scanning,reconnaissance
T1667,Email Bombing,impact
T1137.004,Outlook Home Page,persistence
T1573.002,Asymmetric Cryptography,command-and-control
T1567.002,Exfiltration to Cloud Storage,exfiltration
T1570,Lateral Tool Transfer,lateral-movement
T1574.009,Path Interception by Unquoted Path,"stealth, execution"
T1608.003,Install Digital Certificate,resource-development
T1037.005,Startup Items,"persistence, privilege-escalation"
T1614.001,System Language Discovery,discovery
T1095,Non-Application Layer Protocol,command-and-control
T1059.013,Container CLI/API,execution
T1027.003,Steganography,stealth
T1584.002,DNS Server,resource-development
T1671,Cloud Application Integration,persistence
T1001.003,Protocol or Service Impersonation,command-and-control
T1012,Query Registry,discovery
T1030,Data Transfer Size Limits,exfiltration
T1550.004,Web Session Cookie,lateral-movement
T1078.002,Domain Accounts,"stealth, persistence, privilege-escalation, initial-access"
T1218.009,Regsvcs/Regasm,stealth
T1546.018,Python Startup Hooks,"persistence, privilege-escalation"
T1553.004,Install Root Certificate,defense-impairment
T1037.003,Network Logon Script,"persistence, privilege-escalation"
T1499,Endpoint Denial of Service,impact
T1027.004,Compile After Delivery,stealth
T1688,Safe Mode Boot,defense-impairment
T1614,System Location Discovery,discovery
T1564.007,VBA Stomping,stealth
T1197,BITS Jobs,"stealth, persistence, execution"
T1127.001,MSBuild,"stealth, execution"
T1578.005,Modify Cloud Compute Configurations,defense-impairment
T1090.004,Domain Fronting,command-and-control
T1557.002,ARP Cache Poisoning,"credential-access, collection"
T1518.001,Security Software Discovery,discovery
T1564.003,Hidden Window,stealth
T1127.002,ClickOnce,"stealth, execution"
T1059.006,Python,execution
T1070.010,Relocate Malware,stealth
T1591.004,Identify Roles,reconnaissance
T1132,Data Encoding,command-and-control
T1546.010,AppInit DLLs,"privilege-escalation, persistence"
T1598,Phishing for Information,reconnaissance
T1496,Resource Hijacking,impact
T1684.001,Impersonation,stealth
T1585,Establish Accounts,resource-development
T1588,Obtain Capabilities,resource-development
T1546.002,Screensaver,"privilege-escalation, persistence"
T1556.009,Conditional Access Policies,"defense-impairment, persistence, credential-access"
T1578.002,Create Cloud Instance,defense-impairment
T1555.006,Cloud Secrets Management Stores,credential-access
T1213.003,Code Repositories,collection
T1565.002,Transmitted Data Manipulation,impact
T1003.008,/etc/passwd and /etc/shadow,credential-access
T1543.001,Launch Agent,"persistence, privilege-escalation"
T1569,System Services,execution
T1059.003,Windows Command Shell,execution
T1055.009,Proc Memory,"stealth, privilege-escalation"
T1650,Acquire Access,resource-development
T1601.001,Patch System Image,defense-impairment
T1558.002,Silver Ticket,credential-access
T1213,Data from Information Repositories,collection
T1070.009,Clear Persistence,stealth
T1059.012,Hypervisor CLI,execution
T1555.004,Windows Credential Manager,credential-access
T1036.010,Masquerade Account Name,stealth
T1200,Hardware Additions,initial-access
T1219.002,Remote Desktop Software,command-and-control
T1505,Server Software Component,persistence
T1485,Data Destruction,impact
T1132.002,Non-Standard Encoding,command-and-control
T1556.001,Domain Controller Authentication,"defense-impairment, persistence, credential-access"
T1537,Transfer Data to Cloud Account,exfiltration
T1027.006,HTML Smuggling,stealth
T1556.005,Reversible Encryption,"defense-impairment, persistence, credential-access"
T1027.010,Command Obfuscation,stealth
T1070.004,File Deletion,stealth
T1189,Drive-by Compromise,initial-access
T1498,Network Denial of Service,impact
T1651,Cloud Administration Command,execution
T1546.016,Installer Packages,"privilege-escalation, persistence"
T1595.001,Scanning IP Blocks,reconnaissance
T1221,Template Injection,stealth
T1037.004,RC Scripts,"persistence, privilege-escalation"
T1134,Access Token Manipulation,"stealth, privilege-escalation"
T1111,Multi-Factor Authentication Interception,credential-access
T1027.002,Software Packing,stealth
T1584.007,Serverless,resource-development
T1071.001,Web Protocols,command-and-control
T1059.005,Visual Basic,execution
T1564.005,Hidden File System,stealth
T1543.002,Systemd Service,"persistence, privilege-escalation"
T1668,Exclusive Control,persistence
T1563.002,RDP Hijacking,lateral-movement
T1136,Create Account,persistence
T1547.013,XDG Autostart Entries,"persistence, privilege-escalation"
T1584.004,Server,resource-development
T1526,Cloud Service Discovery,discovery
T1204.004,Malicious Copy and Paste,execution
T1018,Remote System Discovery,discovery
T1046,Network Service Discovery,discovery
T1590.001,Domain Properties,reconnaissance
T1518,Software Discovery,discovery
T1538,Cloud Service Dashboard,discovery
T1055.005,Thread Local Storage,"stealth, privilege-escalation"
T1622,Debugger Evasion,"stealth, discovery"
T1036.006,Space after Filename,stealth
T1547.007,Re-opened Applications,"persistence, privilege-escalation"
T1608.006,SEO Poisoning,resource-development
T1550.002,Pass the Hash,lateral-movement
T1052,Exfiltration Over Physical Medium,exfiltration
T1105,Ingress Tool Transfer,command-and-control
T1216.002,SyncAppvPublishingServer,stealth
T1098.002,Additional Email Delegate Permissions,"persistence, privilege-escalation"
T1588.003,Code Signing Certificates,resource-development
T1648,Serverless Execution,execution
T1548.006,TCC Manipulation,privilege-escalation
T1027.018,Invisible Unicode,stealth
T1055.008,Ptrace System Calls,"stealth, privilege-escalation"
T1653,Power Settings,persistence
T1027.007,Dynamic API Resolution,stealth
T1021.001,Remote Desktop Protocol,lateral-movement
T1037.001,Logon Script (Windows),"persistence, privilege-escalation"
T1055.015,ListPlanting,"stealth, privilege-escalation"
T1665,Hide Infrastructure,command-and-control
T1484,Domain or Tenant Policy Modification,"defense-impairment, privilege-escalation"
T1220,XSL Script Processing,stealth
T1596.005,Scan Databases,reconnaissance
T1564.001,Hidden Files and Directories,stealth
T1578.001,Create Snapshot,defense-impairment
T1591.001,Determine Physical Locations,reconnaissance
T1137.002,Office Test,persistence
T1587,Develop Capabilities,resource-development
T1003.003,NTDS,credential-access
T1686.001,Cloud Firewall,defense-impairment
T1602.001,SNMP (MIB Dump),collection
T1686,Disable or Modify System Firewall,defense-impairment
T1001.002,Steganography,command-and-control
T1204.001,Malicious Link,execution
T1550.001,Application Access Token,lateral-movement
T1547.008,LSASS Driver,"persistence, privilege-escalation"
T1569.002,Service Execution,execution
T1078.004,Cloud Accounts,"stealth, persistence, privilege-escalation, initial-access"
T1480.001,Environmental Keying,stealth
